file_id,mean,sd,se
goethe_werther02_1774,18.795793163891325,16.69828806771128,0.49434383992353914
goethe_wunderhorn_1806,12.767379679144385,11.619845512634615,0.6008479074227222
goetze_zeitvertreib01_1783,14.463859910581222,11.139335305978133,0.21501463494623385
goetze_zeitvertreib02_1783,11.50071472329998,9.104874703235366,0.13010947414671772
goldammer_hochzeitsnacht_1910,20.45049504950495,15.43563186581587,1.08604726821487
goldammer_wiedersehen_1910,18.94808743169399,14.53385407042055,0.759696722168061
goldschmidt_frauenstimmrecht_1895,28.32608695652174,21.234201288200744,3.130812175319154
goldschmidt_froebel_1899,24.680672268907564,15.569326532001043,1.0092095431242583
gotter_erbschleicher_1789,6.974764528167762,6.310972289124052,0.08413134183457452
gottfried_historia_1631,32.91787982687876,30.42711785528822,0.22811856808966455
gotthelf_koppingen_1910,38.85353159851301,23.3026500914255,0.6353955541612569
gotthelf_notar_1910,27.78938053097345,18.83645252600696,0.7924555136890215
gotthelf_sagen_1842,34.26911544227886,18.557879442153776,0.5081014500081507
gottschalck_sagen_1814,24.032299741602067,17.412656130026036,0.3613548731044546
gottschall_poetik_1858,27.014101232002375,19.306764027932008,0.23522106657428826
gottsched_pietisterey_1736,8.758158508158509,9.642506322168567,0.16459486903575246
gottsched_versuch_1730,21.813267095265925,17.271649926562905,0.17046420480096094
grabbe_napoleon_1831,9.449636154729989,11.46806942846725,0.1586981557464721
grassmann_ausdehnungslehre_1844,41.006410256410255,32.05960882368092,0.6225460173458766
graz_kochbuch_1686,60.43535620052771,72.561288931454,3.7272230537401865
greflinger_krieg_1657,25.036308623298034,17.3408779280462,0.38941235277258596
grenzboten_179382_282158,25.972498090145148,19.320422061615652,0.2670033993193409
gressel_grabgedichte_1716,20.26027397260274,16.752785200726013,0.21267484610612372
griesinger_psychische_1845,33.0968182705446,26.00415961881916,0.36331275508737537
grillparzer_diener_1830,8.213649851632047,7.417662653169118,0.1277768353601883
grillparzer_sappho_1819,9.133471933471933,11.223826189777451,0.22886711351794306
grillparzer_spielmann_1910,19.81270182992465,15.023738763060848,0.49291287974554854
grimm_kind_1910,21.191364082433758,16.734306609046726,0.5242285024235831
grimm_maerchen01_1812,27.933629300776914,20.884255349026287,0.3111512836321848
grimm_maerchen01_1819,26.645291637385803,16.556834613396727,0.21945468912499455
grimm_maerchen01_1837,36.497802734375,28.723123468534396,0.44879880419584994
grimm_maerchen01_1840,36.89870320528505,29.528626955372502,0.4618925255195121
grimm_maerchen01_1843,36.656055528961225,29.211670657604632,0.4519310470416082
grimm_maerchen01_1850,33.6524064171123,26.89285460150478,0.3784724037386302
grimm_maerchen01_1857,35.007757243896876,27.73525873258478,0.41893484681753723
grimm_maerchen02_1815,28.115373685706167,18.964263977550882,0.3196880175899234
grimm_maerchen02_1819,26.56153846153846,18.573593508239473,0.28357457540423336
grimm_maerchen02_1837,39.26280227596017,32.12637792140057,0.6058346459137358
grimm_maerchen02_1840,38.20012890750886,31.102204183576212,0.5583419774670013
grimm_maerchen02_1843,35.830704026371556,28.935279821040975,0.44400366614506337
grimm_maerchen02_1850,33.16053719008264,25.784425352188325,0.37062505577956517
grimm_maerchen02_1857,33.2191894127378,25.976346169844085,0.3735381100669226
grimm_meistergesang_1811,28.4044384057971,19.959631172215254,0.42476915967210327
grimm_odenwald_1843,25.034825870646767,14.875933313958996,0.42836163636610203
grimmelshausen_continuatio_1669,113.47328244274809,124.84768239601914,6.297732497075901
grimmelshausen_michel_1673,63.96923076923077,58.2167006581236,3.229281527864659
grimmelshausen_simplicissimus_1669,55.008059516429014,56.237337015180024,0.9901307901355134
grimmelshausen_trutzsimplex_1670,106.52941176470588,117.8216180706863,5.715187956313201
grimmelshausen_vorsehung_1667,76.38067061143984,70.44740603415215,3.1286791413483543
grosse_isidor_1910,22.1892071952032,15.37557077870742,0.3968632647148229
